gene_id	gene_name	n_reactions	reaction_ids
g192	COBRAProtein192	1	rxn00930
g193	COBRAProtein193	1	rxn00196
g194	COBRAProtein194	3	rxnBLTPcpd00851;rxnGFTP5;rxnBLTPcpd02175
g195	COBRAProtein195	3	rxnBLTPcpd00851;rxnGFTP5;rxnBLTPcpd02175
g196	COBRAProtein196	3	rxnBLTPcpd00851;rxnGFTP5;rxnBLTPcpd02175
g197	COBRAProtein197	3	rxnBLTPcpd00851;rxnGFTP5;rxnBLTPcpd02175
g198	COBRAProtein198	2	rxn02946;rxn02071
g199	COBRAProtein199	1	rxn02360
g200	COBRAProtein200	1	rxn01637
g201	COBRAProtein201	3	rxnBLTPcpd00300;rxn05202;rxnBLTPcpd01217
g202	COBRAProtein202	1	rxn00744_c0
g203	COBRAProtein203	1	rxn00744_c0
g204	COBRAProtein204	1	rxn00744_c0
g205	COBRAProtein205	1	rxn00744_c0
g206	COBRAProtein206	1	rxn05549_c0
g207	COBRAProtein207	1	rxn05549_c0
g208	COBRAProtein208	1	rxn05549_c0
g209	COBRAProtein209	7	rxnBLTPcpd20885;rxnBLTPcpdMALT;rxn05170;rxnBLTPcpd00076;rxnBLTPcpd01200;rxn08875;rxn10839
g210	COBRAProtein210	7	rxnBLTPcpd20885;rxnBLTPcpdMALT;rxn05170;rxnBLTPcpd00076;rxnBLTPcpd01200;rxn08875;rxn10839
g211	COBRAProtein211	7	rxnBLTPcpd20885;rxnBLTPcpdMALT;rxn05170;rxnBLTPcpd00076;rxnBLTPcpd01200;rxn08875;rxn10839
g212	COBRAProtein212	7	rxnBLTPcpd20885;rxnBLTPcpdMALT;rxn05170;rxnBLTPcpd00076;rxnBLTPcpd01200;rxn08875;rxn10839
g213	COBRAProtein213	3	rxnMALT1;rxnPAL1;rxnTRE1
g214	COBRAProtein214	3	rxnMALT1;rxnPAL1;rxnTRE1
g215	COBRAProtein215	3	rxnGFTP10b;rxn09692_c0;rxnGFTP10
g216	COBRAProtein216	1	rxn05549_c0
g217	COBRAProtein217	1	rxn05549_c0
g218	COBRAProtein218	1	rxn05549_c0
g219	COBRAProtein219	1	rxn00881_c0
g220	COBRAProtein220	1	rxn05195
g221	COBRAProtein221	1	rxn05195
g222	COBRAProtein222	1	rxn05195
g223	COBRAProtein223	1	rxn01637
g224	COBRAProtein224	1	rxn05158_c0
g225	COBRAProtein225	1	rxn05158_c0
g226	COBRAProtein226	1	rxn05158_c0
g227	COBRAProtein227	1	rxn05158_c0
g228	COBRAProtein228	1	rxn01637
g229	COBRAProtein229	1	rxn00509
g230	COBRAProtein230	2	rxn05625;rxn05627
g231	COBRAProtein231	2	rxn03953_c0;rxn03954_c0
g232	COBRAProtein232	2	rxn01007;rxn01997
g233	COBRAProtein233	1	rxnBLTPcpd03884
g234	COBRAProtein234	1	rxnBLTPcpd03884
g235	COBRAProtein235	2	rxn05549_c0;rxnBLTPcpd03884
g236	COBRAProtein236	1	rxnBLTPcpd03884
g237	COBRAProtein237	1	rxnPSCIS
g238	COBRAProtein238	1	rxn00612
g239	COBRAProtein239	1	rxn05549_c0
g240	COBRAProtein240	1	rxn05549_c0
g241	COBRAProtein241	1	rxn01121_c0
g242	COBRAProtein242	1	rxn01013_c0
g243	COBRAProtein243	1	rxnBLTPcpd00197
g244	COBRAProtein244	1	rxn03975
g245	COBRAProtein245	1	rxn02369
g246	COBRAProtein246	1	rxn01192
g247	COBRAProtein247	1	rxn01192
g248	COBRAProtein248	1	rxn02483
g249	COBRAProtein249	1	rxn02144
g250	COBRAProtein250	1	rxn00350_c0
g251	COBRAProtein251	1	rxn02143
g252	COBRAProtein252	1	rxn02143
g253	COBRAProtein253	1	rxn00598
g254	COBRAProtein254	2	rxn01103_c0;rxn00227_c0
g255	COBRAProtein255	1	rxnBLTPcpd00073
g256	COBRAProtein256	1	rxnBLTPcpd00073
g257	COBRAProtein257	1	rxnBLTPcpd00073
g258	COBRAProtein258	1	rxnBLTPcpd00073
